"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Caro Watson Escape Game","Casa Centenária","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","O Reino do Chocolate","Parque do Palácio","Parque Gaúcho","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"Fragram - Museu do Perfume",1,2,0,1,2,0,1,1,0,0,0,1,0,0,0,1,0,3,9,0,0,0,0,0,2,3,0,0,3,1,1,1,0,1,1,1,3,0,0,0,1,1,0,1,2,2,0,2,4,0,0,0,0,0
"Galeria Arte12b",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galleria D'arte Giovanni Bocchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gram Bier",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"GramadoZoo",2,1,0,7,3,0,1,2,5,0,0,0,0,3,5,1,0,6,0,0,0,0,55,4,4,21,8,0,20,1,5,0,3,1,2,1,4,0,11,0,0,1,0,1,2,0,0,0,15,14,0,0,0,0
"Harley Motor Show",0,1,0,4,5,0,2,0,0,0,0,1,1,1,18,0,0,9,0,0,0,0,4,39,14,20,6,0,17,0,5,0,20,0,0,0,4,0,1,0,3,3,1,0,1,0,0,0,19,18,0,0,0,0
"Igreja Matriz São Pedro Apóstolo",2,13,0,7,6,0,1,0,10,1,0,2,0,1,16,0,0,26,2,0,0,1,4,14,114,71,17,0,40,1,9,0,11,1,0,0,5,0,2,0,0,10,4,0,11,3,1,2,60,31,0,0,1,0
"Lago Negro",3,19,1,15,15,0,5,2,17,3,1,1,1,7,31,2,0,37,3,0,0,1,21,20,71,353,40,0,122,4,20,2,14,4,2,3,11,0,6,0,3,15,8,1,16,5,1,2,108,85,0,1,4,0
"Le Jardin Parque de Lavanda",4,7,0,6,6,0,3,1,5,2,0,0,1,0,6,0,0,13,0,0,0,0,8,6,17,40,91,0,36,0,3,1,5,0,1,0,1,0,3,0,1,4,3,0,6,0,0,0,32,23,0,0,1,0
"Memorial Casa Italiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Mini Mundo",5,10,1,25,13,0,7,2,10,2,0,0,1,5,20,2,0,25,3,0,0,0,20,17,40,122,36,1,291,5,13,2,17,4,2,3,11,0,6,0,1,7,6,0,14,5,0,2,90,92,0,0,2,0
"Mirante do Belvedere",0,6,0,1,1,1,0,2,2,0,0,0,1,0,1,2,0,4,1,0,0,0,1,0,1,4,0,0,5,11,0,0,1,2,2,2,2,0,1,0,0,2,0,0,5,4,2,1,6,3,0,0,0,0
"Mundo de Chocolate",1,8,0,5,6,0,1,0,4,0,0,1,0,3,3,0,0,7,1,0,0,0,5,5,9,20,3,0,13,0,41,1,3,0,0,0,1,0,1,0,2,4,2,1,6,2,0,2,12,17,1,0,1,0
"Mundo Encantado",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,1,7,0,1,0,0,1,0,0,0,1,3,0,1,3,2,0,1,3,4,0,0,0,0
"Museu do Automóvel - Hollywood Dream Cars",0,2,0,3,6,0,1,0,0,0,0,1,0,2,14,0,0,7,0,0,0,0,3,20,11,14,5,0,17,1,3,0,33,0,0,0,3,0,0,0,2,4,1,0,1,1,0,0,17,14,0,0,0,0
"Museu do Festival de Cinema de Gramado",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,4,0,0,4,2,0,1,0,5,1,1,1,0,0,0,0,1,0,0,2,3,0,1,3,1,0,0,0,0
"Museu Fioreze",1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,3,1,0,0,0,2,0,0,2,1,0,2,2,0,0,0,1,4,2,0,0,2,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0
"Museu Gramado - Minerais & Pedras Preciosas",0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,3,0,0,3,2,0,0,0,1,2,5,0,0,1,0,0,0,0,0,2,1,0,1,2,2,0,0,0,0
"O Reino do Chocolate",1,5,0,3,3,1,2,0,1,0,0,1,0,1,4,0,0,5,3,0,0,0,4,4,5,11,1,0,11,2,1,1,3,1,0,0,27,0,1,0,1,3,1,1,3,3,2,1,13,9,0,0,0,0
"Parque do Palácio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Parque Gaúcho",1,1,0,1,1,0,0,2,3,0,0,0,0,0,1,1,0,2,0,0,0,0,11,1,2,6,3,0,6,1,1,0,0,0,2,1,1,0,19,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0
"Parque Olivas de Gramado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parque Temático Mundo Gelado",0,1,0,0,3,0,0,0,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,0,0,0,1,0,0,0,15,1,0,1,1,1,0,1,2,1,0,0,0,0
"Pórtico via Nova Petrópolis",1,11,0,3,6,1,0,0,4,1,0,1,1,0,4,0,0,6,1,0,0,0,1,3,10,15,4,0,7,2,4,3,4,1,0,0,3,0,0,0,1,25,9,1,8,5,3,1,16,10,0,0,0,0
"Pórtico Via Taquara",1,7,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,4,8,3,0,6,0,2,0,1,0,0,0,1,0,0,0,0,9,14,0,4,2,1,0,7,5,0,0,0,0
"Praça da Criança",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,3,1,1,0,1,1,0,0,0,0,0
"Praça das Etnias",2,14,0,5,4,1,0,2,8,0,0,2,1,0,2,2,0,13,2,0,0,1,2,1,11,16,6,1,14,5,6,3,1,2,2,2,3,0,2,0,1,8,4,1,35,6,3,4,24,9,0,0,0,0
"Praça Major Nicoletti",1,5,0,1,2,0,0,1,3,0,0,1,1,0,1,1,0,4,2,0,0,0,0,0,3,5,0,0,5,4,2,2,1,3,1,1,3,1,0,0,1,5,2,1,6,11,2,3,8,4,0,0,0,0
"Prefeitura Municipal de Gramado",0,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,1,0,3,2,3,0,3,2,0,0,0,0
"Rotula das Bandeiras",0,2,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,3,2,0,0,0,0,0,2,2,0,0,2,1,2,1,0,1,1,1,1,0,0,0,1,1,0,1,4,3,0,4,3,1,0,0,0,0
"Rua Coberta",4,24,0,17,9,1,4,2,15,3,1,2,1,3,19,2,0,35,4,0,0,1,15,19,60,108,32,1,90,6,12,3,17,3,2,2,13,1,3,0,2,16,7,1,24,8,3,3,226,60,0,0,4,0
"Snowland",3,12,0,14,22,0,5,1,7,2,0,0,2,9,21,1,0,20,0,0,0,1,14,18,31,85,23,0,92,3,17,4,14,1,1,2,9,0,2,0,1,10,5,0,9,4,2,1,60,258,0,0,0,1
"Trem Maria Fumaça",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Vinicola Masotti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Vinícola Ravanello",0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0
"Vinícola Stopassola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
